P.SYMBOL,P.DATE,P.PRICE,EST.S.DATE,EST.S.PRICE,T.DATE,T.PRICE,STATUS,PROFITPCT,PROFITPCT252D,DATEPCT,PRICEPCT
ASX-ANZ,2020-01-21,25.51,2020-10-09,26.58,2020-02-13,26.58,CLOSED,4.19,46.0,9.0,100.0
ASX-A2M,2020-01-22,15.59,2020-07-05,23.89,2020-02-27,15.87,OPEN,1.8,13.0,22.0,3.0
ASX-VVR,2020-01-22,2.75,2020-03-10,2.89,2020-02-17,2.89,CLOSED,5.09,49.0,54.0,100.0
ASX-VVR,2020-01-22,2.75,2020-07-06,3.05,2020-02-27,2.74,OPEN,-0.36,-3.0,22.0,-3.0
ASX-VVR,2020-01-22,2.75,2020-10-04,2.91,2020-02-17,2.91,CLOSED,5.82,56.0,10.0,100.0
ASX-A2M,2020-01-22,15.59,2020-04-15,19.81,2020-02-27,15.87,OPEN,1.8,13.0,43.0,7.0
ASX-VVR,2020-01-22,2.75,2020-02-13,2.83,2020-02-13,2.78,CLOSED,1.09,12.0,100.0,37.0
ASX-A2M,2020-01-22,15.59,2020-02-25,17.25,2020-02-25,15.14,CLOSED,-2.89,-21.0,100.0,-27.0
ASX-A2M,2020-01-22,15.59,2020-10-24,34.02,2020-02-27,15.87,OPEN,1.8,13.0,13.0,2.0
ASX-BOQ,2020-01-22,7.4,2020-12-09,8.02,2020-02-27,7.53,OPEN,1.76,12.0,11.0,21.0
0175.HK,2020-01-22,14.1,2020-11-15,18.96,2020-02-26,14.86,OPEN,5.39,39.0,12.0,16.0
DLR,2020-01-22,126.28,2020-07-24,139.05,2020-02-26,130.38,OPEN,3.25,23.0,19.0,32.0
RIO,2020-01-22,60.5,2020-10-06,68.82,2020-02-26,49.71,OPEN,-17.83,-128.0,14.0,-130.0
ASX-A2M,2020-01-23,15.31,2020-03-10,18.0,2020-02-27,15.87,OPEN,3.66,26.0,74.0,21.0
ASX-A2M,2020-01-23,15.31,2020-08-10,19.97,2020-02-27,15.87,OPEN,3.66,26.0,18.0,12.0
ASX-A2M,2020-01-23,15.31,2020-06-09,18.2,2020-02-27,15.87,OPEN,3.66,26.0,25.0,19.0
ASX-A2M,2020-01-23,15.31,2020-10-07,15.72,2020-02-17,15.72,CLOSED,2.68,27.0,10.0,100.0
ASX-A2M,2020-01-23,15.31,2020-02-13,16.63,2020-02-13,15.2,CLOSED,-0.72,-9.0,100.0,-8.0
ASX-A2M,2020-01-23,15.31,2020-02-03,15.78,2020-02-03,14.16,CLOSED,-7.51,-172.0,100.0,-245.0
ASX-A2M,2020-01-23,15.31,2020-02-13,16.63,2020-02-13,15.2,CLOSED,-0.72,-9.0,100.0,-8.0
ASX-A2M,2020-01-23,15.31,2020-03-04,18.48,2020-02-27,15.87,OPEN,3.66,26.0,85.0,18.0
NFLX,2020-01-23,349.6,2020-08-04,491.61,2020-02-17,491.61,CLOSED,40.62,409.0,13.0,100.0
ITA,2020-01-23,231.24,2020-05-25,239.52,2020-02-11,239.52,CLOSED,3.58,47.0,15.0,100.0
NFLX,2020-01-23,349.6,2020-07-14,453.54,2020-02-17,453.54,CLOSED,29.73,300.0,14.0,100.0
ITA,2020-01-23,231.24,2021-01-08,253.55,2020-02-26,213.98,OPEN,-7.46,-55.0,10.0,-77.0
ITA,2020-01-23,231.24,2020-04-25,234.01,2020-02-05,234.01,CLOSED,1.2,23.0,14.0,100.0
ASX-CQR,2020-01-24,4.67,2020-11-19,4.97,2020-02-10,4.97,CLOSED,6.42,95.0,6.0,100.0
ASX-CQR,2020-01-24,4.67,2020-07-04,4.99,2020-02-17,4.99,CLOSED,6.85,72.0,15.0,100.0
ASX-NAN,2020-01-28,6.83,2020-12-18,9.64,2020-02-27,6.84,OPEN,0.15,1.0,9.0,0.0
WMT,2020-01-28,116.6,2021-01-15,129.36,2020-02-26,113.78,OPEN,-2.42,-21.0,8.0,-22.0
DIS,2020-01-28,138.37,2020-08-19,148.61,2020-02-26,123.36,OPEN,-10.85,-94.0,14.0,-147.0
DIS,2020-01-28,138.37,2020-07-16,147.68,2020-02-26,123.36,OPEN,-10.85,-94.0,17.0,-161.0
ASX-CWN,2020-01-29,11.55,2020-04-01,12.18,2020-02-27,10.48,OPEN,-9.26,-80.0,46.0,-170.0
ASX-CWN,2020-01-29,11.55,2020-07-21,12.53,2020-02-27,10.48,OPEN,-9.26,-80.0,17.0,-109.0
ASX-AGL,2020-01-29,20.14,2020-07-03,21.37,2020-02-27,19.5,OPEN,-3.18,-28.0,19.0,-52.0
ASX-CWN,2020-01-29,11.55,2020-04-11,12.08,2020-02-27,10.48,OPEN,-9.26,-80.0,40.0,-202.0
ASX-CWN,2020-01-29,11.55,2020-07-24,12.34,2020-02-27,10.48,OPEN,-9.26,-80.0,16.0,-135.0
0268.HK,2020-01-29,8.71,2020-06-09,9.48,2020-02-04,9.48,CLOSED,8.84,371.0,5.0,100.0
0268.HK,2020-01-29,8.71,2020-09-12,11.65,2020-02-26,10.06,OPEN,15.5,140.0,12.0,46.0
ITA,2020-01-29,232.11,2021-01-10,265.51,2020-02-26,213.98,OPEN,-7.81,-70.0,8.0,-54.0
ITA,2020-01-29,232.11,2020-05-30,245.18,2020-02-26,213.98,OPEN,-7.81,-70.0,23.0,-139.0
ITA,2020-01-29,232.11,2020-05-21,241.3,2020-02-26,213.98,OPEN,-7.81,-70.0,25.0,-197.0
ASX-CWN,2020-01-30,11.6,2020-04-12,12.14,2020-02-27,10.48,OPEN,-9.66,-87.0,38.0,-207.0
ASX-IVC,2020-01-30,13.11,2020-12-01,14.77,2020-02-27,14.77,CLOSED,12.66,114.0,9.0,100.0
ASX-IVC,2020-01-30,13.11,2020-12-01,14.77,2020-02-27,14.77,CLOSED,12.66,114.0,9.0,100.0
ASX-CWN,2020-01-30,11.6,2020-07-25,12.39,2020-02-27,10.48,OPEN,-9.66,-87.0,16.0,-142.0
2588.HK,2020-01-30,71.4,2020-03-18,77.04,2020-02-26,70.75,OPEN,-0.91,-8.0,56.0,-12.0
2588.HK,2020-01-30,71.4,2020-04-03,78.62,2020-02-26,70.75,OPEN,-0.91,-8.0,42.0,-9.0
2588.HK,2020-01-30,71.4,2020-06-16,85.34,2020-02-26,70.75,OPEN,-0.91,-8.0,20.0,-5.0
2588.HK,2020-01-30,71.4,2020-07-10,83.65,2020-02-26,70.75,OPEN,-0.91,-8.0,17.0,-5.0
2588.HK,2020-01-30,71.4,2020-05-17,73.67,2020-02-04,73.67,CLOSED,3.18,160.0,5.0,100.0
NFLX,2020-01-30,347.74,2020-06-26,495.11,2020-02-17,495.11,CLOSED,42.38,593.0,12.0,100.0
MMM,2020-01-30,162.51,2020-10-17,184.03,2020-02-26,148.96,OPEN,-8.34,-78.0,10.0,-63.0
NFLX,2020-01-30,347.74,2020-05-05,442.08,2020-02-17,442.08,CLOSED,27.13,380.0,19.0,100.0
MMM,2020-01-30,162.51,2020-11-27,185.75,2020-02-26,148.96,OPEN,-8.34,-78.0,9.0,-58.0
DIS,2020-01-30,137.81,2020-07-18,147.08,2020-02-05,147.08,CLOSED,6.73,283.0,4.0,100.0
MSFT,2020-01-30,172.78,2020-11-30,184.18,2020-02-05,184.18,CLOSED,6.6,277.0,2.0,100.0
ASX-CWN,2020-01-31,11.7,2020-04-13,12.24,2020-02-27,10.48,OPEN,-10.43,-97.0,37.0,-226.0
ASX-CWN,2020-01-31,11.7,2020-07-26,12.5,2020-02-27,10.48,OPEN,-10.43,-97.0,15.0,-152.0
0175.HK,2020-01-31,12.54,2020-10-23,18.85,2020-02-26,14.86,OPEN,18.5,179.0,10.0,37.0
2208.HK,2020-01-31,8.23,2020-12-26,10.94,2020-02-26,8.2,OPEN,-0.36,-3.0,8.0,-1.0
0175.HK,2020-01-31,12.54,2020-11-24,16.86,2020-02-26,14.86,OPEN,18.5,179.0,9.0,54.0
AMZN,2020-01-31,2008.72,2020-08-08,2650.71,2020-02-26,1979.59,OPEN,-1.45,-14.0,14.0,-5.0
AMZN,2020-01-31,2008.72,2020-09-23,2551.88,2020-02-26,1979.59,OPEN,-1.45,-14.0,11.0,-5.0
ASX-VVR,2020-02-03,2.75,2020-04-27,2.92,2020-02-17,2.92,CLOSED,6.18,111.0,17.0,100.0
ASX-VVR,2020-02-03,2.75,2020-09-13,3.23,2020-02-27,2.74,OPEN,-0.36,-4.0,11.0,-2.0
ASX-VVR,2020-02-03,2.75,2020-08-22,2.9,2020-02-17,2.9,CLOSED,5.45,98.0,7.0,100.0
ASX-VVR,2020-02-03,2.75,2020-03-11,2.81,2020-02-13,2.81,CLOSED,2.18,55.0,27.0,100.0
1299.HK,2020-02-03,78.5,2020-09-12,94.12,2020-02-26,77.3,OPEN,-1.53,-17.0,10.0,-8.0
0857.HK,2020-02-03,3.38,2020-10-30,5.39,2020-02-26,3.16,OPEN,-6.51,-71.0,9.0,-11.0
