P.SYMBOL,P.DATE,P.PRICE,EST.S.DATE,EST.S.PRICE,T.DATE,T.PRICE,STATUS,PROFITPCT,PROFITPCT252D,DATEPCT,PRICEPCT
ASX-ANZ,2020-01-21,25.51,2020-10-09,26.58,2020-02-13,26.58,CLOSED,4.19,46.0,9.0,100.0
ASX-A2M,2020-01-22,15.59,2020-07-05,23.89,2020-03-02,15.56,OPEN,-0.19,-1.0,24.0,-0.0
ASX-VVR,2020-01-22,2.75,2020-03-10,2.89,2020-02-17,2.89,CLOSED,5.09,49.0,54.0,100.0
ASX-VVR,2020-01-22,2.75,2020-07-06,3.05,2020-03-02,2.71,OPEN,-1.45,-9.0,24.0,-13.0
ASX-VVR,2020-01-22,2.75,2020-10-04,2.91,2020-02-17,2.91,CLOSED,5.82,56.0,10.0,100.0
ASX-A2M,2020-01-22,15.59,2020-04-15,19.81,2020-03-02,15.56,OPEN,-0.19,-1.0,48.0,-1.0
ASX-VVR,2020-01-22,2.75,2020-02-13,2.83,2020-02-13,2.78,CLOSED,1.09,12.0,100.0,37.0
ASX-A2M,2020-01-22,15.59,2020-02-25,17.25,2020-02-25,15.14,CLOSED,-2.89,-21.0,100.0,-27.0
ASX-A2M,2020-01-22,15.59,2020-10-24,34.02,2020-03-02,15.56,OPEN,-0.19,-1.0,14.0,-0.0
ASX-BOQ,2020-01-22,7.4,2020-12-09,8.02,2020-03-02,7.34,OPEN,-0.81,-5.0,12.0,-10.0
0175.HK,2020-01-22,14.1,2020-11-15,18.96,2020-03-02,14.26,OPEN,1.13,7.0,13.0,3.0
DLR,2020-01-22,126.28,2020-07-24,139.05,2020-02-28,120.11,OPEN,-4.89,-33.0,20.0,-48.0
RIO,2020-01-22,60.5,2020-10-06,68.82,2020-02-28,46.93,OPEN,-22.43,-153.0,14.0,-163.0
ASX-A2M,2020-01-23,15.31,2020-03-10,18.0,2020-03-02,15.56,OPEN,1.63,11.0,83.0,9.0
ASX-A2M,2020-01-23,15.31,2020-08-10,19.97,2020-03-02,15.56,OPEN,1.63,11.0,20.0,5.0
