P.SYMBOL,P.DATE,P.PRICE,EST.S.DATE,EST.S.PRICE,T.DATE,T.PRICE,STATUS,PROFITPCT,PROFITPCT252D,DATEPCT,PRICEPCT
ASX-ANZ,2020-01-21,25.51,2020-10-09,26.58,2020-02-13,26.58,CLOSED,4.19,46.0,9.0,100.0
ASX-A2M,2020-01-22,15.59,2020-07-05,23.89,2020-02-20,15.87,OPEN,1.8,16.0,18.0,3.0
ASX-VVR,2020-01-22,2.75,2020-03-10,2.89,2020-02-17,2.89,CLOSED,5.09,49.0,54.0,100.0
ASX-VVR,2020-01-22,2.75,2020-07-06,3.05,2020-02-20,2.76,OPEN,0.36,3.0,17.0,3.0
ASX-VVR,2020-01-22,2.75,2020-10-04,2.91,2020-02-17,2.91,CLOSED,5.82,56.0,10.0,100.0
ASX-A2M,2020-01-22,15.59,2020-04-15,19.81,2020-02-20,15.87,OPEN,1.8,16.0,35.0,7.0
ASX-VVR,2020-01-22,2.75,2020-02-13,2.83,2020-02-13,2.78,CLOSED,1.09,12.0,100.0,37.0
ASX-A2M,2020-01-22,15.59,2020-02-25,17.25,2020-02-20,15.87,OPEN,1.8,16.0,85.0,17.0
ASX-A2M,2020-01-22,15.59,2020-10-24,34.02,2020-02-20,15.87,OPEN,1.8,16.0,11.0,2.0
ASX-BOQ,2020-01-22,7.4,2020-12-09,8.02,2020-02-20,7.6,OPEN,2.7,23.0,9.0,32.0
0175.HK,2020-01-22,14.1,2020-11-15,18.96,2020-02-20,15.1,OPEN,7.09,62.0,10.0,21.0
DLR,2020-01-22,126.28,2020-07-24,139.05,2020-02-19,132.41,OPEN,4.85,44.0,15.0,48.0
RIO,2020-01-22,60.5,2020-10-06,68.82,2020-02-19,54.34,OPEN,-10.18,-92.0,11.0,-74.0
ASX-A2M,2020-01-23,15.31,2020-03-10,18.0,2020-02-20,15.87,OPEN,3.66,33.0,60.0,21.0
ASX-A2M,2020-01-23,15.31,2020-08-10,19.97,2020-02-20,15.87,OPEN,3.66,33.0,14.0,12.0
ASX-A2M,2020-01-23,15.31,2020-06-09,18.2,2020-02-20,15.87,OPEN,3.66,33.0,20.0,19.0
ASX-A2M,2020-01-23,15.31,2020-10-07,15.72,2020-02-17,15.72,CLOSED,2.68,27.0,10.0,100.0
ASX-A2M,2020-01-23,15.31,2020-02-13,16.63,2020-02-13,15.2,CLOSED,-0.72,-9.0,100.0,-8.0
ASX-A2M,2020-01-23,15.31,2020-02-03,15.78,2020-02-03,14.16,CLOSED,-7.51,-172.0,100.0,-245.0
ASX-A2M,2020-01-23,15.31,2020-02-13,16.63,2020-02-13,15.2,CLOSED,-0.72,-9.0,100.0,-8.0
ASX-A2M,2020-01-23,15.31,2020-03-04,18.48,2020-02-20,15.87,OPEN,3.66,33.0,68.0,18.0
NFLX,2020-01-23,349.6,2020-08-04,491.61,2020-02-19,386.19,OPEN,10.47,98.0,14.0,26.0
ITA,2020-01-23,231.24,2020-05-25,239.52,2020-02-11,239.52,CLOSED,3.58,47.0,15.0,100.0
NFLX,2020-01-23,349.6,2020-07-14,453.54,2020-02-19,386.19,OPEN,10.47,98.0,16.0,35.0
ITA,2020-01-23,231.24,2021-01-08,253.55,2020-02-19,235.98,OPEN,2.05,19.0,8.0,21.0
ITA,2020-01-23,231.24,2020-04-25,234.01,2020-02-05,234.01,CLOSED,1.2,23.0,14.0,100.0
ASX-CQR,2020-01-24,4.67,2020-11-19,4.97,2020-02-10,4.97,CLOSED,6.42,95.0,6.0,100.0
ASX-CQR,2020-01-24,4.67,2020-07-04,4.99,2020-02-17,4.99,CLOSED,6.85,72.0,15.0,100.0
ASX-NAN,2020-01-28,6.83,2020-12-18,9.64,2020-02-20,7.29,OPEN,6.73,74.0,7.0,16.0
WMT,2020-01-28,116.6,2021-01-15,129.36,2020-02-19,117.68,OPEN,0.93,11.0,6.0,8.0
DIS,2020-01-28,138.37,2020-08-19,148.61,2020-02-19,141.3,OPEN,2.12,24.0,11.0,29.0
DIS,2020-01-28,138.37,2020-07-16,147.68,2020-02-19,141.3,OPEN,2.12,24.0,13.0,31.0
ASX-CWN,2020-01-29,11.55,2020-04-01,12.18,2020-02-20,11.9,OPEN,3.03,35.0,35.0,56.0
ASX-CWN,2020-01-29,11.55,2020-07-21,12.53,2020-02-20,11.9,OPEN,3.03,35.0,13.0,36.0
ASX-AGL,2020-01-29,20.14,2020-07-03,21.37,2020-02-20,21.13,OPEN,4.92,56.0,14.0,80.0
ASX-CWN,2020-01-29,11.55,2020-04-11,12.08,2020-02-20,11.9,OPEN,3.03,35.0,30.0,66.0
ASX-CWN,2020-01-29,11.55,2020-07-24,12.34,2020-02-20,11.9,OPEN,3.03,35.0,12.0,44.0
0268.HK,2020-01-29,8.71,2020-06-09,9.48,2020-02-04,9.48,CLOSED,8.84,371.0,5.0,100.0
0268.HK,2020-01-29,8.71,2020-09-12,11.65,2020-02-20,10.6,OPEN,21.7,249.0,10.0,64.0
ITA,2020-01-29,232.11,2021-01-10,265.51,2020-02-19,235.98,OPEN,1.67,20.0,6.0,12.0
ITA,2020-01-29,232.11,2020-05-30,245.18,2020-02-19,235.98,OPEN,1.67,20.0,17.0,30.0
ITA,2020-01-29,232.11,2020-05-21,241.3,2020-02-19,235.98,OPEN,1.67,20.0,19.0,42.0
ASX-CWN,2020-01-30,11.6,2020-04-12,12.14,2020-02-20,11.9,OPEN,2.59,31.0,29.0,56.0
ASX-IVC,2020-01-30,13.11,2020-12-01,14.77,2020-02-20,13.36,OPEN,1.91,23.0,7.0,15.0
ASX-IVC,2020-01-30,13.11,2020-12-01,14.77,2020-02-20,13.36,OPEN,1.91,23.0,7.0,15.0
ASX-CWN,2020-01-30,11.6,2020-07-25,12.39,2020-02-20,11.9,OPEN,2.59,31.0,12.0,38.0
2588.HK,2020-01-30,71.4,2020-03-18,77.04,2020-02-20,75.75,OPEN,6.09,73.0,44.0,77.0
2588.HK,2020-01-30,71.4,2020-04-03,78.62,2020-02-20,75.75,OPEN,6.09,73.0,33.0,60.0
2588.HK,2020-01-30,71.4,2020-06-16,85.34,2020-02-20,75.75,OPEN,6.09,73.0,15.0,31.0
2588.HK,2020-01-30,71.4,2020-07-10,83.65,2020-02-20,75.75,OPEN,6.09,73.0,13.0,36.0
2588.HK,2020-01-30,71.4,2020-05-17,73.67,2020-02-04,73.67,CLOSED,3.18,160.0,5.0,100.0
NFLX,2020-01-30,347.74,2020-06-26,495.11,2020-02-19,386.19,OPEN,11.06,139.0,14.0,26.0
MMM,2020-01-30,162.51,2020-10-17,184.03,2020-02-19,159.34,OPEN,-1.95,-25.0,8.0,-15.0
NFLX,2020-01-30,347.74,2020-05-05,442.08,2020-02-19,386.19,OPEN,11.06,139.0,21.0,41.0
MMM,2020-01-30,162.51,2020-11-27,185.75,2020-02-19,159.34,OPEN,-1.95,-25.0,7.0,-14.0
DIS,2020-01-30,137.81,2020-07-18,147.08,2020-02-05,147.08,CLOSED,6.73,283.0,4.0,100.0
MSFT,2020-01-30,172.78,2020-11-30,184.18,2020-02-05,184.18,CLOSED,6.6,277.0,2.0,100.0
ASX-CWN,2020-01-31,11.7,2020-04-13,12.24,2020-02-20,11.9,OPEN,1.71,22.0,27.0,37.0
ASX-CWN,2020-01-31,11.7,2020-07-26,12.5,2020-02-20,11.9,OPEN,1.71,22.0,11.0,25.0
0175.HK,2020-01-31,12.54,2020-10-23,18.85,2020-02-20,15.1,OPEN,20.41,257.0,8.0,41.0
2208.HK,2020-01-31,8.23,2020-12-26,10.94,2020-02-20,8.77,OPEN,6.56,83.0,6.0,20.0
0175.HK,2020-01-31,12.54,2020-11-24,16.86,2020-02-20,15.1,OPEN,20.41,257.0,7.0,59.0
AMZN,2020-01-31,2008.72,2020-08-08,2650.71,2020-02-19,2170.22,OPEN,8.04,107.0,10.0,25.0
AMZN,2020-01-31,2008.72,2020-09-23,2551.88,2020-02-19,2170.22,OPEN,8.04,107.0,8.0,30.0
ASX-VVR,2020-02-03,2.75,2020-04-27,2.92,2020-02-17,2.92,CLOSED,6.18,111.0,17.0,100.0
ASX-VVR,2020-02-03,2.75,2020-09-13,3.23,2020-02-20,2.76,OPEN,0.36,5.0,8.0,2.0
ASX-VVR,2020-02-03,2.75,2020-08-22,2.9,2020-02-17,2.9,CLOSED,5.45,98.0,7.0,100.0
ASX-VVR,2020-02-03,2.75,2020-03-11,2.81,2020-02-13,2.81,CLOSED,2.18,55.0,27.0,100.0
1299.HK,2020-02-03,78.5,2020-09-12,94.12,2020-02-20,79.65,OPEN,1.46,22.0,8.0,7.0
0857.HK,2020-02-03,3.38,2020-10-30,5.39,2020-02-20,3.42,OPEN,1.18,17.0,6.0,2.0
0175.HK,2020-02-03,12.6,2020-10-26,18.94,2020-02-20,15.1,OPEN,19.84,294.0,6.0,39.0
1299.HK,2020-02-03,78.5,2020-06-11,86.48,2020-02-20,79.65,OPEN,1.46,22.0,13.0,14.0
0175.HK,2020-02-03,12.6,2020-11-27,16.94,2020-02-20,15.1,OPEN,19.84,294.0,6.0,58.0
1299.HK,2020-02-03,78.5,2020-04-01,82.75,2020-02-20,79.65,OPEN,1.46,22.0,29.0,27.0
0386.HK,2020-02-03,4.07,2020-04-16,4.23,2020-02-06,4.23,CLOSED,3.93,330.0,4.0,100.0
NKE,2020-02-03,99.27,2020-12-21,120.1,2020-02-19,102.46,OPEN,3.21,51.0,5.0,15.0
AMZN,2020-02-03,2004.2,2020-09-15,2548.34,2020-02-19,2170.22,OPEN,8.28,130.0,7.0,31.0
AMZN,2020-02-03,2004.2,2020-08-13,2651.76,2020-02-19,2170.22,OPEN,8.28,130.0,8.0,26.0
LULU,2020-02-03,246.37,2020-10-15,324.81,2020-02-19,262.51,OPEN,6.55,103.0,6.0,21.0
NKE,2020-02-03,99.27,2020-06-11,107.09,2020-02-19,102.46,OPEN,3.21,51.0,12.0,41.0
NKE,2020-02-03,99.27,2020-04-17,104.0,2020-02-19,102.46,OPEN,3.21,51.0,22.0,67.0
LULU,2020-02-03,246.37,2021-01-09,296.63,2020-02-19,262.51,OPEN,6.55,103.0,5.0,32.0
ASX-CWN,2020-02-04,11.56,2020-04-17,12.09,2020-02-20,11.9,OPEN,2.94,46.0,22.0,64.0
ASX-NAB,2020-02-04,25.6,2021-01-04,27.4,2020-02-19,27.4,CLOSED,7.03,118.0,4.0,100.0
ASX-CWN,2020-02-04,11.56,2020-07-30,12.35,2020-02-20,11.9,OPEN,2.94,46.0,9.0,43.0
0288.HK,2020-02-04,7.45,2020-07-04,9.08,2020-02-20,8.65,OPEN,16.11,254.0,11.0,74.0
0288.HK,2020-02-04,7.45,2020-08-14,11.31,2020-02-20,8.65,OPEN,16.11,254.0,8.0,31.0
2208.HK,2020-02-04,8.31,2021-01-11,11.08,2020-02-20,8.77,OPEN,5.54,87.0,5.0,17.0
1038.HK,2020-02-04,54.05,2021-01-19,66.87,2020-02-20,54.75,OPEN,1.3,20.0,5.0,5.0
2388.HK,2020-02-04,26.0,2021-02-02,33.46,2020-02-20,27.65,OPEN,6.35,100.0,4.0,22.0
2800.HK,2020-02-04,26.85,2020-12-07,31.8,2020-02-20,27.75,OPEN,3.35,53.0,5.0,18.0
0175.HK,2020-02-04,12.76,2020-10-27,19.18,2020-02-20,15.1,OPEN,18.34,289.0,6.0,36.0
2208.HK,2020-02-04,8.31,2020-12-30,11.05,2020-02-20,8.77,OPEN,5.54,87.0,5.0,17.0
0175.HK,2020-02-04,12.76,2020-11-28,17.16,2020-02-20,15.1,OPEN,18.34,289.0,5.0,53.0
1038.HK,2020-02-04,54.05,2020-06-27,57.33,2020-02-20,54.75,OPEN,1.3,20.0,11.0,21.0
1816.HK,2020-02-04,1.91,2020-04-08,2.01,2020-02-11,2.01,CLOSED,5.24,189.0,11.0,100.0
1038.HK,2020-02-04,54.05,2020-04-02,55.81,2020-02-20,54.75,OPEN,1.3,20.0,28.0,40.0
2800.HK,2020-02-04,26.85,2020-07-13,28.79,2020-02-20,27.75,OPEN,3.35,53.0,10.0,46.0
0267.HK,2020-02-04,8.87,2020-03-24,9.57,2020-02-20,9.51,OPEN,7.22,114.0,33.0,91.0
0288.HK,2020-02-04,7.45,2020-06-28,8.05,2020-02-07,8.05,CLOSED,8.05,676.0,2.0,100.0
0267.HK,2020-02-04,8.87,2020-05-30,11.13,2020-02-20,9.51,OPEN,7.22,114.0,14.0,28.0
MA,2020-02-04,329.12,2020-11-19,428.09,2020-02-19,344.56,OPEN,4.69,79.0,5.0,16.0
MA,2020-02-04,329.12,2020-05-30,379.01,2020-02-19,344.56,OPEN,4.69,79.0,13.0,31.0
UPS,2020-02-04,103.38,2020-04-11,106.19,2020-02-05,106.19,CLOSED,2.72,inf,0.0,100.0
MMM,2020-02-04,157.24,2020-10-22,178.06,2020-02-19,159.34,OPEN,1.34,23.0,6.0,10.0
MA,2020-02-04,329.12,2020-04-21,351.07,2020-02-19,344.56,OPEN,4.69,79.0,19.0,70.0
MMM,2020-02-04,157.24,2020-12-02,179.73,2020-02-19,159.34,OPEN,1.34,23.0,5.0,9.0
QQQ,2020-02-04,227.47,2020-07-13,239.69,2020-02-19,236.98,OPEN,4.18,70.0,9.0,78.0
QQQ,2020-02-04,227.47,2020-05-14,231.18,2020-02-10,231.18,CLOSED,1.63,68.0,6.0,100.0
UPS,2020-02-04,103.38,2020-08-10,109.66,2020-02-19,106.76,OPEN,3.27,55.0,8.0,54.0
UPS,2020-02-04,103.38,2020-04-06,107.01,2020-02-06,107.01,CLOSED,3.51,442.0,3.0,100.0
ASX-VVR,2020-02-05,2.77,2020-03-24,2.91,2020-02-17,2.91,CLOSED,5.05,106.0,25.0,100.0
ASX-VVR,2020-02-05,2.77,2020-07-20,3.07,2020-02-20,2.76,OPEN,-0.36,-6.0,9.0,-3.0
ASX-VVR,2020-02-05,2.77,2020-10-18,2.93,2020-02-20,2.76,OPEN,-0.36,-6.0,6.0,-6.0
ASX-VVR,2020-02-05,2.77,2020-02-27,2.85,2020-02-17,2.85,CLOSED,2.89,61.0,55.0,100.0
ASX-ASX,2020-02-05,85.74,2020-12-31,91.75,2020-02-20,81.47,OPEN,-4.98,-84.0,5.0,-71.0
ASX-ORG,2020-02-05,7.8,2020-04-07,8.42,2020-02-20,7.97,OPEN,2.18,37.0,24.0,27.0
ASX-ORG,2020-02-05,7.8,2020-04-12,8.25,2020-02-20,7.97,OPEN,2.18,37.0,22.0,38.0
2588.HK,2020-02-05,74.2,2020-07-04,87.29,2020-02-20,75.75,OPEN,2.09,35.0,10.0,12.0
2588.HK,2020-02-05,74.2,2020-07-07,84.83,2020-02-20,75.75,OPEN,2.09,35.0,10.0,15.0
2768.HK,2020-02-05,2.87,2020-04-12,3.53,2020-02-20,3.1,OPEN,8.01,135.0,22.0,35.0
2768.HK,2020-02-05,2.87,2020-02-26,3.55,2020-02-20,3.1,OPEN,8.01,135.0,71.0,34.0
0288.HK,2020-02-05,7.66,2020-07-05,9.34,2020-02-20,8.65,OPEN,12.92,217.0,10.0,59.0
0288.HK,2020-02-05,7.66,2020-08-15,11.63,2020-02-20,8.65,OPEN,12.92,217.0,8.0,25.0
2768.HK,2020-02-05,2.87,2020-02-14,3.09,2020-02-13,3.09,CLOSED,7.67,242.0,89.0,100.0
0435.HK,2020-02-05,4.93,2020-10-01,5.62,2020-02-20,4.98,OPEN,1.01,17.0,6.0,7.0
1310.HK,2020-02-05,13.74,2020-09-08,15.61,2020-02-20,14.3,OPEN,4.08,69.0,7.0,30.0
2588.HK,2020-02-05,74.2,2020-04-02,80.17,2020-02-20,75.75,OPEN,2.09,35.0,26.0,26.0
0435.HK,2020-02-05,4.93,2020-11-15,5.69,2020-02-20,4.98,OPEN,1.01,17.0,5.0,7.0
0175.HK,2020-02-05,13.06,2020-10-28,19.63,2020-02-20,15.1,OPEN,15.62,262.0,6.0,31.0
0175.HK,2020-02-05,13.06,2020-11-29,17.56,2020-02-20,15.1,OPEN,15.62,262.0,5.0,45.0
1816.HK,2020-02-05,1.94,2020-04-09,2.04,2020-02-20,1.98,OPEN,2.06,35.0,23.0,40.0
0288.HK,2020-02-05,7.66,2020-06-29,8.27,2020-02-12,8.27,CLOSED,7.96,287.0,5.0,100.0
ITA,2020-02-05,234.89,2021-01-26,270.31,2020-02-19,235.98,OPEN,0.46,8.0,4.0,3.0
UPS,2020-02-05,106.04,2020-04-12,108.92,2020-02-19,106.76,OPEN,0.68,12.0,21.0,25.0
IXN,2020-02-05,226.47,2020-06-26,240.99,2020-02-19,231.91,OPEN,2.4,43.0,10.0,37.0
MMM,2020-02-05,162.33,2020-10-23,183.82,2020-02-19,159.34,OPEN,-1.84,-33.0,5.0,-14.0
MMM,2020-02-05,162.33,2020-12-03,185.54,2020-02-19,159.34,OPEN,-1.84,-33.0,5.0,-13.0
ITA,2020-02-05,234.89,2020-06-27,247.01,2020-02-19,235.98,OPEN,0.46,8.0,10.0,9.0
AMZN,2020-02-05,2039.87,2020-04-19,2356.05,2020-02-19,2170.22,OPEN,6.39,115.0,19.0,41.0
ITA,2020-02-05,234.89,2020-06-11,242.59,2020-02-19,235.98,OPEN,0.46,8.0,11.0,14.0
IXN,2020-02-05,226.47,2020-04-28,233.69,2020-02-19,231.91,OPEN,2.4,43.0,17.0,75.0
UPS,2020-02-05,106.04,2020-08-11,112.48,2020-02-19,106.76,OPEN,0.68,12.0,7.0,11.0
UPS,2020-02-05,106.04,2020-04-07,109.76,2020-02-19,106.76,OPEN,0.68,12.0,23.0,19.0
ASX-NAN,2020-02-06,7.15,2021-01-06,9.87,2020-02-20,7.29,OPEN,1.96,35.0,4.0,5.0
ASX-AGL,2020-02-06,19.66,2020-07-11,20.86,2020-02-17,20.86,CLOSED,6.1,140.0,7.0,100.0
ASX-ORG,2020-02-06,7.9,2020-04-08,8.52,2020-02-20,7.97,OPEN,0.89,16.0,23.0,11.0
ASX-NAN,2020-02-06,7.15,2020-11-16,8.68,2020-02-20,7.29,OPEN,1.96,35.0,5.0,9.0
ASX-ORG,2020-02-06,7.9,2020-04-13,8.36,2020-02-20,7.97,OPEN,0.89,16.0,21.0,15.0
1310.HK,2020-02-06,13.84,2020-09-16,15.09,2020-02-20,14.3,OPEN,3.32,60.0,6.0,37.0
0823.HK,2020-02-06,80.35,2020-10-11,95.56,2020-02-20,77.9,OPEN,-3.05,-55.0,6.0,-16.0
0066.HK,2020-02-06,44.5,2021-01-14,54.31,2020-02-20,44.65,OPEN,0.34,6.0,4.0,2.0
2388.HK,2020-02-06,26.5,2021-02-04,34.11,2020-02-20,27.65,OPEN,4.34,78.0,4.0,15.0
0823.HK,2020-02-06,80.35,2020-11-21,97.37,2020-02-20,77.9,OPEN,-3.05,-55.0,5.0,-14.0
0006.HK,2020-02-06,56.95,2021-01-27,62.04,2020-02-20,56.55,OPEN,-0.7,-13.0,4.0,-8.0
0006.HK,2020-02-06,56.95,2020-07-12,59.56,2020-02-20,56.55,OPEN,-0.7,-13.0,9.0,-15.0
GOOG,2020-02-06,1476.23,2020-09-23,1690.43,2020-02-19,1526.69,OPEN,3.42,66.0,6.0,24.0
GOOG,2020-02-06,1476.23,2020-09-08,1706.23,2020-02-19,1526.69,OPEN,3.42,66.0,6.0,22.0
ITA,2020-02-06,237.63,2021-01-18,271.82,2020-02-19,235.98,OPEN,-0.69,-13.0,4.0,-5.0
ITA,2020-02-06,237.63,2020-06-06,250.94,2020-02-19,235.98,OPEN,-0.69,-13.0,11.0,-12.0
ITA,2020-02-06,237.63,2020-05-29,247.04,2020-02-19,235.98,OPEN,-0.69,-13.0,12.0,-18.0
GOOG,2020-02-06,1476.23,2020-04-19,1535.87,2020-02-19,1526.69,OPEN,3.42,66.0,18.0,85.0
ASX-REA,2020-02-07,116.9,2020-08-19,153.45,2020-02-20,113.96,OPEN,-2.51,-49.0,7.0,-8.0
ASX-REA,2020-02-07,116.9,2020-08-17,144.09,2020-02-20,113.96,OPEN,-2.51,-49.0,7.0,-11.0
ASX-REA,2020-02-07,116.9,2020-05-11,129.77,2020-02-20,113.96,OPEN,-2.51,-49.0,14.0,-23.0
ASX-ANZ,2020-02-07,26.03,2020-11-09,27.51,2020-02-20,27.03,OPEN,3.84,74.0,5.0,68.0
2638.HK,2020-02-07,7.86,2020-10-06,8.71,2020-02-20,7.87,OPEN,0.13,3.0,5.0,1.0
2638.HK,2020-02-07,7.86,2020-08-08,8.36,2020-02-20,7.87,OPEN,0.13,3.0,7.0,2.0
0388.HK,2020-02-07,270.6,2020-12-02,328.75,2020-02-20,271.4,OPEN,0.3,6.0,4.0,1.0
0388.HK,2020-02-07,270.6,2020-08-15,310.65,2020-02-20,271.4,OPEN,0.3,6.0,7.0,2.0
0753.HK,2020-02-07,6.97,2021-01-30,9.24,2020-02-20,6.98,OPEN,0.14,3.0,4.0,0.0
V,2020-02-10,205.99,2020-12-25,274.44,2020-02-19,213.31,OPEN,3.55,99.0,3.0,11.0
ASX-A2M,2020-02-11,14.89,2020-08-01,22.17,2020-02-20,15.87,OPEN,6.58,184.0,5.0,13.0
ASX-VCX,2020-02-12,2.53,2020-08-20,2.81,2020-02-20,2.38,OPEN,-5.93,-187.0,4.0,-54.0
ASX-NSR,2020-02-12,2.17,2020-09-28,2.43,2020-02-20,2.42,OPEN,11.52,363.0,3.0,96.0
ASX-NSR,2020-02-12,2.17,2021-01-20,2.3,2020-02-17,2.3,CLOSED,5.99,302.0,1.0,100.0
ASX-WBC,2020-02-12,25.25,2020-12-28,27.72,2020-02-20,25.69,OPEN,1.74,55.0,2.0,18.0
ASX-WBC,2020-02-12,25.25,2020-11-10,27.61,2020-02-20,25.69,OPEN,1.74,55.0,3.0,19.0
ASX-AGL,2020-02-12,19.52,2020-07-16,20.71,2020-02-14,20.71,CLOSED,6.1,769.0,1.0,100.0
ASX-ORG,2020-02-12,7.69,2020-04-13,8.3,2020-02-20,7.97,OPEN,3.64,115.0,13.0,46.0
ASX-CBA,2020-02-12,88.18,2020-09-20,93.76,2020-02-20,87.85,OPEN,-0.37,-12.0,4.0,-6.0
